date,site_id,client_id,item_id,day_type,effective_headcount,shift,qty_drawn
2025-03-07,Central_01,CLIENT-025,ITM-01,Weekday,23,A,1.0
2025-12-26,North_01,CLIENT-002,ITM-01,Weekday,116,A,6.0
2025-05-26,Central_01,CLIENT-023,ITM-03,Weekday,28,A,3.0
2025-03-12,North_01,CLIENT-003,ITM-02,Weekday,80,A,1.0
2025-08-05,Central_01,CLIENT-022,ITM-02,Weekday,41,A,0.5
2025-12-08,Central_01,CLIENT-024,ITM-10,Weekday,130,A,1.0
2025-01-20,South_01,CLIENT-014,ITM-04,Weekday,105,A,1.0
2025-10-07,South_01,CLIENT-018,ITM-08,Weekday,112,A,1.0
2025-11-12,East_01,CLIENT-026,ITM-01,Weekday,28,A,1.0
2025-01-02,North_01,CLIENT-004,ITM-02,Weekday,26,A,0.5
2025-12-13,South_01,CLIENT-014,ITM-01,Weekend,14,A,1.0
2025-10-07,Central_01,CLIENT-023,ITM-01,Weekday,34,A,1.0
2025-04-02,South_01,CLIENT-016,ITM-02,Weekday,76,A,0.5
2025-09-09,South_01,CLIENT-016,ITM-02,Weekday,65,A,0.5
2025-05-16,East_01,CLIENT-032,ITM-01,Weekday,28,A,2.0
2025-05-01,North_01,CLIENT-005,ITM-10,Weekday,91,A,1.0
2025-09-16,North_02,CLIENT-010,ITM-01,Weekday,116,A,6.0
2025-11-21,South_01,CLIENT-014,ITM-01,Weekday,114,A,6.0
2025-09-25,Central_01,CLIENT-022,ITM-02,Weekday,41,A,0.5
2025-03-25,North_02,CLIENT-013,ITM-03,Weekday,23,A,2.0
2025-05-10,South_01,CLIENT-015,ITM-01,Weekday,120,A,7.0
2025-12-22,North_01,CLIENT-006,ITM-02,Weekday,87,B,0.5
2025-08-03,North_02,CLIENT-011,ITM-02,Weekday,69,A,1.0
2025-07-18,South_01,CLIENT-018,ITM-02,Weekday,114,A,1.0
2025-03-10,South_01,CLIENT-017,ITM-03,Weekday,90,A,8.0
2025-08-30,South_01,CLIENT-018,ITM-01,Weekend,14,A,1.0
2025-05-09,East_01,CLIENT-028,ITM-08,Weekday,27,A,1.0
2025-01-09,South_01,CLIENT-018,ITM-02,Weekday,115,A,1.0
2025-10-27,North_01,CLIENT-006,ITM-03,Weekday,94,A,9.0
2025-09-27,North_02,CLIENT-010,ITM-04,Weekday,113,A,1.0
2025-05-08,South_01,CLIENT-018,ITM-09,Weekday,106,A,1.0
2025-07-18,East_01,CLIENT-032,ITM-01,Weekday,24,A,1.0
2025-02-21,South_01,CLIENT-017,ITM-01,Weekday,95,A,6.0
2025-11-05,Central_01,CLIENT-020,ITM-03,Weekday,25,A,3.0
2025-08-03,Central_01,CLIENT-022,ITM-03,Weekend,6,A,1.0
2025-07-03,North_01,CLIENT-004,ITM-07,Weekday,37,A,1.0
2025-10-19,South_01,CLIENT-015,ITM-02,Weekday,127,A,1.0
2025-10-28,South_01,CLIENT-018,ITM-09,Weekday,105,A,1.0
2025-07-08,North_02,CLIENT-007,ITM-01,Weekday,72,A,3.0
2025-12-19,South_01,CLIENT-019,ITM-10,Weekday,105,A,1.0
2025-12-12,North_02,CLIENT-007,ITM-02,Weekday,73,A,1.0
2025-07-02,North_01,CLIENT-001,ITM-06,Weekday,77,A,1.0
2025-03-15,North_02,CLIENT-011,ITM-03,Weekday,65,A,7.0
2025-06-20,South_01,CLIENT-015,ITM-07,Weekday,136,A,1.0
2025-11-16,North_02,CLIENT-012,ITM-01,Weekend,10,A,1.0
2025-01-26,North_01,CLIENT-002,ITM-01,Republic Day,14,A,1.0
2025-12-21,South_01,CLIENT-017,ITM-01,Weekend,14,A,1.0
2025-03-06,North_02,CLIENT-009,ITM-03,Weekday,19,A,2.0
2025-06-18,South_01,CLIENT-015,ITM-02,Weekday,136,A,1.0
2025-01-28,South_01,CLIENT-019,ITM-10,Weekday,111,A,1.0
2025-03-21,East_01,CLIENT-030,ITM-03,Weekday,111,A,9.0
2025-12-27,North_02,CLIENT-011,ITM-03,Weekday,75,A,9.0
2025-09-23,North_01,CLIENT-004,ITM-01,Weekday,35,A,2.0
2025-09-12,North_01,CLIENT-002,ITM-03,Weekday,128,A,10.0
2025-01-21,North_02,CLIENT-012,ITM-02,Weekday,83,A,1.0
2025-09-30,East_01,CLIENT-031,ITM-03,Weekday,20,A,2.0
2025-01-03,South_01,CLIENT-016,ITM-09,Weekday,67,A,1.0
2025-03-13,North_02,CLIENT-010,ITM-03,Weekday,126,A,13.0
2025-07-09,South_01,CLIENT-019,ITM-01,Weekday,104,A,4.0
2025-07-16,Central_01,CLIENT-020,ITM-01,Weekday,23,A,1.0
2025-08-14,South_01,CLIENT-014,ITM-09,Weekday,113,A,1.0
2025-08-07,Central_01,CLIENT-025,ITM-03,Weekday,22,A,2.0
2025-09-18,South_01,CLIENT-019,ITM-02,Weekday,105,A,1.0
2025-12-29,Central_01,CLIENT-021,ITM-10,Weekday,70,A,1.0
2025-12-10,Central_01,CLIENT-022,ITM-04,Weekday,41,A,1.0
2025-01-14,South_01,CLIENT-018,ITM-09,Weekday,106,A,1.0
2025-12-02,Central_01,CLIENT-021,ITM-10,Weekday,75,A,1.0
2025-10-27,South_01,CLIENT-015,ITM-02,Weekday,119,A,1.5
2025-10-08,South_01,CLIENT-019,ITM-03,Weekday,109,A,10.0
2025-01-12,South_01,CLIENT-015,ITM-07,Weekday,139,A,1.0
2025-02-17,North_02,CLIENT-007,ITM-03,Weekday,81,A,7.0
2025-05-07,Central_01,CLIENT-023,ITM-02,Weekday,31,A,0.5
2025-08-03,North_01,CLIENT-006,ITM-01,Weekend,10,A,1.0
2025-08-08,North_01,CLIENT-003,ITM-01,Weekday,83,A,5.0
2025-06-17,North_01,CLIENT-002,ITM-02,Weekday,108,A,1.0
2025-02-18,North_02,CLIENT-012,ITM-07,Weekday,92,A,1.0
2025-04-17,North_01,CLIENT-006,ITM-09,Weekday,93,A,1.0
2025-02-06,North_01,CLIENT-003,ITM-03,Weekday,84,A,9.0
2025-04-15,South_01,CLIENT-016,ITM-03,Weekday,69,B,2.0
2025-04-25,South_01,CLIENT-014,ITM-01,Weekday,105,A,5.0
2025-09-01,Central_01,CLIENT-022,ITM-01,Weekday,41,A,2.0
2025-02-26,South_01,CLIENT-019,ITM-09,Weekday,109,A,1.0
2025-11-08,North_01,CLIENT-005,ITM-01,Weekend,12,A,1.0
2025-10-16,North_02,CLIENT-007,ITM-03,Weekday,72,A,7.0
2025-08-12,North_01,CLIENT-002,ITM-01,Weekday,100,B,2.0
2025-10-16,North_01,CLIENT-001,ITM-09,Weekday,62,A,1.0
2025-09-09,North_02,CLIENT-007,ITM-04,Weekday,81,A,1.0
2025-06-18,South_01,CLIENT-019,ITM-04,Weekday,101,A,1.0
2025-08-27,North_01,CLIENT-002,ITM-10,Weekday,103,A,1.0
2025-02-04,South_01,CLIENT-018,ITM-10,Weekday,117,A,1.0
2025-09-03,North_02,CLIENT-009,ITM-03,Weekday,21,A,2.0
2025-07-09,South_01,CLIENT-017,ITM-05,Weekday,101,A,1.0
2025-07-02,Central_01,CLIENT-024,ITM-10,Weekday,141,A,1.0
2025-04-03,East_01,CLIENT-027,ITM-02,Weekday,39,A,0.5
2025-02-06,North_02,CLIENT-008,ITM-05,Weekday,70,A,1.0
2025-12-04,North_02,CLIENT-012,ITM-03,Weekday,92,A,9.0
2025-06-26,Central_01,CLIENT-020,ITM-03,Weekday,23,A,2.0
2025-10-16,Central_01,CLIENT-023,ITM-04,Weekday,34,A,1.0
2025-08-22,North_01,CLIENT-003,ITM-03,Weekday,76,A,7.0
2025-07-03,South_01,CLIENT-017,ITM-01,Weekday,106,A,5.0
2025-02-16,South_01,CLIENT-015,ITM-01,Weekday,124,A,6.0
2025-02-05,North_01,CLIENT-001,ITM-01,Weekday,83,A,5.0
2025-04-14,East_01,CLIENT-027,ITM-02,Weekday,35,A,0.5
2025-04-30,East_01,CLIENT-026,ITM-03,Weekday,29,A,3.0
2025-01-08,East_01,CLIENT-028,ITM-01,Weekday,24,A,1.0
2025-12-27,North_01,CLIENT-002,ITM-01,Weekend,11,A,1.0
2025-11-06,South_01,CLIENT-019,ITM-02,Weekday,110,A,1.0
2025-01-01,East_01,CLIENT-030,ITM-03,Weekday,124,A,15.0
2025-04-24,North_02,CLIENT-008,ITM-10,Weekday,86,A,1.0
2025-12-09,North_02,CLIENT-008,ITM-03,Weekday,78,A,8.0
2025-09-01,South_01,CLIENT-015,ITM-03,Weekday,140,A,15.0
2025-12-26,North_02,CLIENT-012,ITM-02,Weekday,83,A,1.0
2025-08-24,North_01,CLIENT-002,ITM-03,Weekend,7,A,1.0
2025-11-26,North_02,CLIENT-008,ITM-02,Weekday,88,A,1.0
2025-10-13,South_01,CLIENT-018,ITM-02,Weekday,108,A,1.0
2025-03-15,South_01,CLIENT-016,ITM-03,Weekend,7,A,1.0
2025-11-21,North_02,CLIENT-011,ITM-04,Weekday,78,A,1.0
2025-09-01,North_01,CLIENT-001,ITM-01,Weekday,76,A,5.0
2025-06-12,South_01,CLIENT-017,ITM-01,Weekday,97,A,7.0
2025-03-12,North_01,CLIENT-001,ITM-03,Weekday,85,A,9.0
2025-07-25,North_02,CLIENT-011,ITM-03,Weekday,76,A,9.0
2025-12-02,North_02,CLIENT-008,ITM-01,Weekday,81,A,4.0
2025-12-12,South_01,CLIENT-017,ITM-01,Weekday,101,A,5.0
2025-04-08,East_01,CLIENT-029,ITM-01,Weekday,23,A,1.0
2025-10-31,South_01,CLIENT-017,ITM-01,Weekday,99,A,6.0
2025-07-03,Central_01,CLIENT-020,ITM-03,Weekday,23,A,2.0
2025-11-28,East_01,CLIENT-030,ITM-01,Weekday,113,A,7.0
2025-11-22,East_01,CLIENT-026,ITM-01,Weekday,24,A,2.0
2025-03-21,Central_01,CLIENT-025,ITM-01,Weekday,22,A,1.0
2025-04-26,North_02,CLIENT-009,ITM-01,Weekday,21,A,1.0
2025-05-21,South_01,CLIENT-015,ITM-09,Weekday,118,A,1.0
2025-10-08,Central_01,CLIENT-025,ITM-03,Weekday,28,A,3.0
2025-03-05,North_02,CLIENT-009,ITM-03,Weekday,20,A,2.0
2025-07-04,South_01,CLIENT-018,ITM-10,Weekday,118,A,1.0
2025-06-20,East_01,CLIENT-027,ITM-01,Weekday,35,A,3.0
2025-02-10,North_01,CLIENT-003,ITM-07,Weekday,73,A,1.0
2025-06-20,North_01,CLIENT-006,ITM-02,Weekday,82,A,1.0
2025-07-01,South_01,CLIENT-018,ITM-03,Weekday,105,A,10.0
2025-06-05,Central_01,CLIENT-021,ITM-03,Weekday,80,A,8.0
2025-09-11,Central_01,CLIENT-023,ITM-08,Weekday,31,A,1.0
2025-05-10,South_01,CLIENT-018,ITM-03,Weekend,9,A,1.0
2025-06-13,East_01,CLIENT-029,ITM-03,Weekday,21,A,2.0
2025-07-14,North_02,CLIENT-013,ITM-02,Weekday,32,A,0.5
2025-06-24,North_01,CLIENT-003,ITM-02,Weekday,82,A,0.5
2025-06-30,South_01,CLIENT-015,ITM-08,Weekday,127,A,1.0
2025-05-19,Central_01,CLIENT-023,ITM-03,Weekday,29,A,2.0
2025-09-19,South_01,CLIENT-016,ITM-01,Weekday,73,B,1.0
2025-11-15,South_01,CLIENT-014,ITM-03,Weekend,10,A,1.0
2025-07-09,East_01,CLIENT-026,ITM-03,Weekday,24,A,2.0
2025-12-22,North_02,CLIENT-012,ITM-09,Weekday,83,A,1.0
2025-06-11,North_02,CLIENT-007,ITM-02,Weekday,80,A,1.0
2025-11-22,Central_01,CLIENT-021,ITM-01,Weekend,11,A,1.0
2025-05-15,North_01,CLIENT-002,ITM-09,Weekday,97,A,1.0
2025-07-10,Central_01,CLIENT-024,ITM-03,Weekday,123,A,12.0
2025-02-06,South_01,CLIENT-017,ITM-10,Weekday,91,A,1.0
2025-09-01,North_01,CLIENT-005,ITM-03,Weekday,86,A,8.0
2025-05-17,North_02,CLIENT-009,ITM-01,Weekday,20,A,1.0
2025-05-03,South_01,CLIENT-016,ITM-01,Weekend,10,A,1.0
2025-10-22,Central_01,CLIENT-022,ITM-02,Weekday,42,A,0.5
2025-02-01,East_01,CLIENT-030,ITM-03,Weekend,8,A,1.0
2025-12-16,South_01,CLIENT-016,ITM-01,Weekday,68,A,4.0
2025-04-11,East_01,CLIENT-030,ITM-03,Weekday,114,A,13.0
2025-11-14,South_01,CLIENT-015,ITM-09,Weekday,134,A,1.0
2025-06-17,South_01,CLIENT-015,ITM-10,Weekday,120,A,1.0
2025-09-12,North_01,CLIENT-006,ITM-10,Weekday,87,A,1.0
2025-03-12,North_01,CLIENT-006,ITM-09,Weekday,101,A,1.0
2025-08-21,Central_01,CLIENT-025,ITM-04,Weekday,23,A,1.0
2025-05-01,South_01,CLIENT-019,ITM-03,Weekday,102,A,12.0
2025-03-27,North_02,CLIENT-012,ITM-01,Weekday,90,A,6.0
2025-12-22,Central_01,CLIENT-024,ITM-10,Weekday,135,A,1.0
2025-09-03,East_01,CLIENT-028,ITM-03,Weekday,41,A,5.0
2025-01-22,North_01,CLIENT-004,ITM-08,Weekday,28,A,1.0
2025-03-18,Central_01,CLIENT-021,ITM-04,Weekday,87,A,1.0
2025-09-28,North_02,CLIENT-010,ITM-03,Weekend,16,A,1.0
2025-11-30,South_01,CLIENT-017,ITM-03,Weekend,11,A,1.0
2025-11-13,North_02,CLIENT-008,ITM-01,Weekday,87,A,4.0
2025-07-16,East_01,CLIENT-027,ITM-04,Weekday,40,A,1.0
2025-11-03,North_01,CLIENT-006,ITM-07,Weekday,90,A,1.0
2025-06-11,North_02,CLIENT-010,ITM-03,Weekday,122,A,13.0
2025-07-11,Central_01,CLIENT-020,ITM-01,Weekday,23,A,1.0
2025-12-04,Central_01,CLIENT-020,ITM-01,Weekday,26,A,1.0
2025-10-01,East_01,CLIENT-028,ITM-09,Weekday,40,A,1.0
2025-02-03,South_01,CLIENT-017,ITM-10,Weekday,91,A,1.0
2025-09-17,East_01,CLIENT-030,ITM-03,Weekday,116,A,11.0
2025-05-23,North_02,CLIENT-008,ITM-09,Weekday,79,A,1.0
2025-09-18,North_02,CLIENT-010,ITM-01,Weekday,114,A,6.0
2025-08-20,North_01,CLIENT-001,ITM-01,Weekday,76,A,5.0
2025-01-28,North_02,CLIENT-011,ITM-10,Weekday,71,A,1.0
2025-12-31,South_01,CLIENT-018,ITM-08,Weekday,103,A,1.0
2025-09-24,North_02,CLIENT-012,ITM-01,Weekday,81,A,5.0
2025-02-10,Central_01,CLIENT-023,ITM-03,Weekday,26,A,2.0
2025-12-01,Central_01,CLIENT-021,ITM-01,Weekday,70,A,4.0
2025-12-08,North_01,CLIENT-005,ITM-01,Weekday,94,A,5.0
2025-11-16,North_02,CLIENT-007,ITM-03,Weekend,9,A,1.0
2025-12-31,North_01,CLIENT-002,ITM-09,Weekday,124,A,1.0
2025-11-12,North_02,CLIENT-010,ITM-01,Weekday,109,A,7.0
2025-05-27,East_01,CLIENT-031,ITM-02,Weekday,21,A,0.5
2025-02-14,South_01,CLIENT-015,ITM-01,Weekday,130,A,7.0
2025-09-05,North_02,CLIENT-007,ITM-02,Weekday,71,A,0.5
2025-02-01,Central_01,CLIENT-021,ITM-01,Weekend,11,A,1.0
2025-09-22,North_01,CLIENT-001,ITM-02,Weekday,67,A,0.5
2025-11-03,North_01,CLIENT-002,ITM-10,Weekday,116,A,1.0
2025-09-16,Central_01,CLIENT-021,ITM-09,Weekday,70,A,1.0
2025-06-24,South_01,CLIENT-016,ITM-03,Weekday,70,A,8.0
2025-10-11,South_01,CLIENT-015,ITM-01,Weekday,134,A,9.0
2025-11-10,East_01,CLIENT-028,ITM-03,Weekday,39,A,4.0
2025-03-28,East_01,CLIENT-030,ITM-06,Weekday,127,A,1.0
2025-02-15,South_01,CLIENT-018,ITM-01,Weekend,15,A,1.0
2025-07-08,Central_01,CLIENT-020,ITM-01,Weekday,24,A,1.0
2025-05-05,Central_01,CLIENT-022,ITM-08,Weekday,31,A,1.0
2025-01-24,North_01,CLIENT-001,ITM-03,Weekday,85,A,9.0
2025-02-27,Central_01,CLIENT-022,ITM-01,Weekday,30,A,2.0
2025-09-24,East_01,CLIENT-030,ITM-02,Weekday,112,A,1.0
2025-02-11,Central_01,CLIENT-021,ITM-02,Weekday,77,A,1.0
2025-05-30,Central_01,CLIENT-024,ITM-02,Weekday,133,A,1.5
2025-10-23,North_01,CLIENT-003,ITM-03,Weekday,79,A,8.0
2025-01-10,Central_01,CLIENT-023,ITM-03,Weekday,26,A,
2025-01-03,South_01,CLIENT-019,ITM-07,Weekday,105,A,1.0
2025-05-01,South_01,CLIENT-014,ITM-01,Weekday,120,A,8.0
2025-11-01,East_01,CLIENT-028,ITM-03,Weekend,6,A,1.0
2025-05-01,North_02,CLIENT-013,ITM-02,Weekday,33,A,0.5
2025-10-27,South_01,CLIENT-014,ITM-01,Weekday,113,A,6.0
2025-10-15,North_01,CLIENT-006,ITM-08,Weekday,93,A,1.0
2025-12-18,Central_01,CLIENT-024,ITM-06,Weekday,136,A,1.0
2025-07-23,South_01,CLIENT-015,ITM-02,Weekday,125,A,1.0
2025-08-20,North_01,CLIENT-002,ITM-08,Weekday,105,A,1.0
2025-10-27,North_01,CLIENT-001,ITM-01,Weekday,64,A,3.0
2025-01-14,Central_01,CLIENT-022,ITM-03,Weekday,28,B,1.0
2025-09-09,South_01,CLIENT-015,ITM-03,Weekday,118,A,12.0
2025-01-02,North_02,CLIENT-010,ITM-01,Weekday,126,A,8.0
2025-10-01,East_01,CLIENT-030,ITM-02,Weekday,105,A,1.0
2025-07-30,South_01,CLIENT-019,ITM-09,Weekday,103,A,1.0
2025-10-29,North_01,CLIENT-001,ITM-09,Weekday,72,A,1.0
2025-06-02,East_01,CLIENT-031,ITM-01,Weekday,22,A,1.0
2025-11-13,Central_01,CLIENT-022,ITM-01,Weekday,42,A,1.0
2025-03-14,North_01,CLIENT-001,ITM-03,Holi,12,A,1.0
2025-10-23,North_01,CLIENT-005,ITM-01,Weekday,92,A,4.0
2025-11-14,North_01,CLIENT-005,ITM-10,Weekday,95,A,1.0
2025-09-04,South_01,CLIENT-018,ITM-10,Weekday,101,A,1.0
2025-07-22,North_02,CLIENT-008,ITM-02,Weekday,81,A,1.0
2025-06-05,Central_01,CLIENT-020,ITM-02,Weekday,26,A,0.5
2025-02-25,East_01,CLIENT-029,ITM-04,Weekday,21,A,1.0
2025-03-27,Central_01,CLIENT-023,ITM-02,Weekday,32,A,0.5
2025-04-17,East_01,CLIENT-028,ITM-05,Weekday,24,A,1.0
2025-06-04,North_02,CLIENT-012,ITM-02,Weekday,80,A,1.0
2025-10-28,North_01,CLIENT-006,ITM-08,Weekday,92,A,1.0
2025-02-10,East_01,CLIENT-027,ITM-03,Weekday,23,A,2.0
2025-10-15,North_02,CLIENT-010,ITM-01,Weekday,115,A,5.0
2025-05-12,Central_01,CLIENT-025,ITM-03,Weekday,21,A,2.0
2025-07-10,North_01,CLIENT-002,ITM-03,Weekday,101,A,11.0
2025-05-29,South_01,CLIENT-016,ITM-10,Weekday,74,A,1.0
2025-02-28,North_01,CLIENT-002,ITM-02,Weekday,93,A,1.0
2025-11-25,Central_01,CLIENT-020,ITM-09,Weekday,23,A,1.0
2025-06-27,South_01,CLIENT-019,ITM-01,Weekday,111,A,6.0
2025-04-08,North_01,CLIENT-004,ITM-09,Weekday,27,A,1.0
2025-02-22,North_01,CLIENT-003,ITM-01,Weekday,75,A,5.0
2025-06-05,North_01,CLIENT-006,ITM-03,Weekday,95,A,9.0
2025-06-17,South_01,CLIENT-016,ITM-07,Weekday,67,A,1.0
2025-11-05,South_01,CLIENT-017,ITM-03,Weekday,111,A,11.0
2025-10-23,South_01,CLIENT-016,ITM-01,Weekday,63,A,2.0
2025-03-04,South_01,CLIENT-015,ITM-01,Weekday,126,A,7.0
2025-09-22,Central_01,CLIENT-022,ITM-01,Weekday,38,A,2.0
2025-10-27,South_01,CLIENT-014,ITM-03,Weekday,113,A,13.0
2025-01-07,Central_01,CLIENT-020,ITM-03,Weekday,24,A,2.0
2025-04-01,East_01,CLIENT-030,ITM-08,Weekday,112,A,1.0
2025-09-04,North_02,CLIENT-008,ITM-02,Weekday,87,A,1.0
2025-09-09,South_01,CLIENT-016,ITM-07,Weekday,65,A,1.0
2025-12-26,South_01,CLIENT-015,ITM-01,Weekday,123,A,8.0
2025-12-24,East_01,CLIENT-030,ITM-05,Weekday,121,A,1.0
2025-02-18,North_02,CLIENT-007,ITM-02,Weekday,88,A,1.0
2025-10-15,South_01,CLIENT-017,ITM-03,Weekday,108,A,11.0
2025-04-30,Central_01,CLIENT-024,ITM-09,Weekday,139,A,1.0
2025-05-27,South_01,CLIENT-016,ITM-10,Weekday,70,A,1.0
2025-05-21,North_02,CLIENT-007,ITM-10,Weekday,80,A,1.0
2025-04-22,North_02,CLIENT-008,ITM-01,Weekday,88,A,6.0
2025-07-16,Central_01,CLIENT-023,ITM-02,Weekday,32,A,0.5
2025-06-07,North_02,CLIENT-012,ITM-10,Weekday,78,A,1.0
2025-01-14,North_01,CLIENT-005,ITM-03,Weekday,79,A,9.0
2025-03-28,North_01,CLIENT-003,ITM-01,Weekday,71,A,4.0
2025-05-07,East_01,CLIENT-026,ITM-03,Weekday,27,A,2.0
2025-09-04,North_01,CLIENT-002,ITM-03,Weekday,119,B,4.0
2025-04-26,South_01,CLIENT-019,ITM-01,Weekend,15,A,1.0
2025-08-07,South_01,CLIENT-017,ITM-01,Weekday,110,A,6.0
2025-01-02,South_01,CLIENT-017,ITM-10,Weekday,86,A,1.0
2025-11-06,Central_01,CLIENT-022,ITM-03,Weekday,39,B,2.0
2025-05-06,North_01,CLIENT-005,ITM-03,Weekday,85,A,9.0
2025-10-10,North_01,CLIENT-006,ITM-03,Weekday,92,A,8.0
2025-07-01,North_01,CLIENT-005,ITM-10,Weekday,89,A,1.0
2025-05-16,East_01,CLIENT-030,ITM-01,Weekday,125,A,7.0
2025-06-25,East_01,CLIENT-032,ITM-04,Weekday,27,A,1.0
2025-01-16,South_01,CLIENT-016,ITM-03,Weekday,67,A,8.0
2025-12-11,North_01,CLIENT-003,ITM-08,Weekday,82,A,1.0
2025-10-14,North_01,CLIENT-001,ITM-10,Weekday,66,A,1.0
2025-02-07,North_01,CLIENT-006,ITM-06,Weekday,100,A,1.0
2025-10-21,South_01,CLIENT-014,ITM-07,Weekday,109,A,1.0
2025-05-16,South_01,CLIENT-016,ITM-10,Weekday,74,A,1.0
2025-09-14,South_01,CLIENT-017,ITM-03,Weekend,6,A,1.0
2025-06-12,North_01,CLIENT-006,ITM-10,Weekday,83,A,1.0
2025-09-28,North_02,CLIENT-008,ITM-03,Weekend,6,A,1.0
2025-10-21,Central_01,CLIENT-024,ITM-09,Weekday,133,A,1.0
2025-07-02,Central_01,CLIENT-023,ITM-09,Weekday,32,A,1.0
2025-07-24,North_01,CLIENT-001,ITM-09,Weekday,77,A,1.0
2025-02-20,East_01,CLIENT-031,ITM-01,Weekday,20,A,1.0
2025-01-17,Central_01,CLIENT-023,ITM-09,Weekday,26,A,1.0
2025-09-20,North_01,CLIENT-003,ITM-03,Weekday,81,A,7.0
2025-09-26,North_02,CLIENT-009,ITM-01,Weekday,19,A,1.0
2025-05-23,Central_01,CLIENT-025,ITM-03,Weekday,22,A,2.0
2025-03-19,North_01,CLIENT-002,ITM-01,Weekday,88,A,5.0
2025-02-14,East_01,CLIENT-030,ITM-01,Weekday,109,A,5.0
2025-07-24,North_02,CLIENT-011,ITM-01,Weekday,69,A,4.0
2025-11-21,South_01,CLIENT-014,ITM-08,Weekday,114,A,1.0
2025-09-22,East_01,CLIENT-026,ITM-03,Weekday,24,A,2.0
2025-03-21,South_01,CLIENT-014,ITM-08,Weekday,112,A,1.0
2025-08-27,South_01,CLIENT-014,ITM-01,Weekday,120,B,2.0
2025-12-16,South_01,CLIENT-016,ITM-10,Weekday,68,A,1.0
2025-05-12,Central_01,CLIENT-021,ITM-01,Weekday,87,A,5.0
2025-06-16,Central_01,CLIENT-021,ITM-07,Weekday,71,A,1.0
2025-06-13,South_01,CLIENT-018,ITM-04,Weekday,117,A,1.0
2025-05-19,North_01,CLIENT-001,ITM-10,Weekday,74,A,1.0
2025-11-11,Central_01,CLIENT-024,ITM-02,Weekday,127,A,1.5
2025-07-08,Central_01,CLIENT-023,ITM-02,Weekday,29,A,0.5
2025-02-13,Central_01,CLIENT-020,ITM-01,Weekday,23,A,1.0
2025-02-21,South_01,CLIENT-015,ITM-10,Weekday,134,A,1.0
2025-07-28,Central_01,CLIENT-022,ITM-03,Weekday,44,A,5.0
2025-07-31,North_01,CLIENT-002,ITM-04,Weekday,106,A,1.0
2025-11-26,North_01,CLIENT-006,ITM-08,Weekday,80,A,1.0
2025-04-01,North_02,CLIENT-010,ITM-05,Weekday,109,A,1.0
2025-12-24,East_01,CLIENT-028,ITM-02,Weekday,38,A,0.5
2025-01-30,South_01,CLIENT-015,ITM-06,Weekday,118,A,1.0
2025-07-15,Central_01,CLIENT-022,ITM-02,Weekday,43,A,0.5
2025-08-04,South_01,CLIENT-018,ITM-01,Weekday,117,A,7.0
2025-08-01,North_01,CLIENT-001,ITM-03,Weekday,75,A,7.0
