restock_id,site_id,item_id,date,qty,restock_type
RST-00325,East_01,ITM-01,2025-09-15,946,scheduled
RST-00326,East_01,ITM-01,2025-11-14,973,scheduled
RST-00327,East_01,ITM-02,2025-01-04,93,scheduled
RST-00328,East_01,ITM-02,2025-03-04,83,scheduled
RST-00329,East_01,ITM-02,2025-05-06,87,scheduled
RST-00330,East_01,ITM-02,2025-07-02,89,scheduled
RST-00331,East_01,ITM-02,2025-08-28,83,scheduled
RST-00332,East_01,ITM-02,2025-10-29,83,scheduled
RST-00333,East_01,ITM-02,2025-12-26,89,scheduled
RST-00334,East_01,ITM-03,2025-01-01,1709,scheduled
RST-00335,East_01,ITM-03,2025-03-01,1777,scheduled
RST-00336,East_01,ITM-03,2025-05-01,1634,scheduled
RST-00337,East_01,ITM-03,2025-06-29,1724,scheduled
RST-00338,East_01,ITM-03,2025-08-29,1674,scheduled
RST-00339,East_01,ITM-03,2025-10-27,1811,scheduled
RST-00340,East_01,ITM-03,2025-12-24,1838,scheduled
RST-00341,East_01,ITM-04,2025-01-05,622,scheduled
RST-00342,East_01,ITM-04,2025-03-08,589,scheduled
RST-00343,East_01,ITM-04,2025-05-07,641,scheduled
RST-00344,East_01,ITM-04,2025-07-05,579,scheduled
RST-00345,East_01,ITM-04,2025-09-04,637,scheduled
RST-00346,East_01,ITM-04,2025-11-06,587,scheduled
RST-00347,East_01,ITM-05,2025-01-06,549,scheduled
RST-00348,East_01,ITM-05,2025-03-09,563,scheduled
RST-00349,East_01,ITM-05,2025-05-07,605,scheduled
RST-00350,East_01,ITM-05,2025-07-06,585,scheduled
RST-00351,East_01,ITM-05,2025-09-07,630,scheduled
RST-00352,East_01,ITM-05,2025-11-03,616,scheduled
RST-00353,East_01,ITM-05,2025-12-30,624,scheduled
RST-00354,East_01,ITM-06,2025-01-07,549,scheduled
RST-00355,East_01,ITM-06,2025-03-06,606,scheduled
RST-00356,East_01,ITM-06,2025-05-06,571,scheduled
RST-00357,East_01,ITM-06,2025-07-02,591,scheduled
RST-00358,East_01,ITM-06,2025-09-03,571,scheduled
RST-00359,East_01,ITM-06,2025-10-30,573,scheduled
RST-00360,East_01,ITM-06,2025-12-26,589,scheduled
RST-00361,East_01,ITM-07,2025-01-06,550,scheduled
RST-00362,East_01,ITM-07,2025-03-08,583,scheduled
RST-00363,East_01,ITM-07,2025-05-06,575,scheduled
RST-00364,East_01,ITM-07,2025-07-03,614,scheduled
RST-00365,East_01,ITM-07,2025-09-03,564,scheduled
RST-00366,East_01,ITM-07,2025-11-02,549,scheduled
RST-00367,East_01,ITM-08,2025-01-10,564,scheduled
RST-00368,East_01,ITM-08,2025-03-11,578,scheduled
RST-00369,East_01,ITM-08,2025-05-07,627,scheduled
RST-00370,East_01,ITM-08,2025-07-08,553,scheduled
RST-00371,East_01,ITM-08,2025-09-06,602,scheduled
RST-00372,East_01,ITM-08,2025-11-08,549,scheduled
RST-00373,East_01,ITM-09,2025-01-10,577,scheduled
RST-00374,East_01,ITM-09,2025-03-08,595,scheduled
RST-00375,East_01,ITM-09,2025-05-06,604,scheduled
RST-00376,East_01,ITM-09,2025-07-08,621,scheduled
RST-00377,East_01,ITM-09,2025-09-04,628,scheduled
RST-00378,East_01,ITM-09,2025-11-04,626,scheduled
RST-00379,East_01,ITM-10,2025-01-01,119,scheduled
RST-00380,East_01,ITM-10,2025-03-05,113,scheduled
RST-00381,East_01,ITM-10,2025-05-02,116,scheduled
RST-00382,East_01,ITM-10,2025-06-28,130,scheduled
RST-00383,East_01,ITM-10,2025-08-25,126,scheduled
RST-00384,East_01,ITM-10,2025-10-26,118,scheduled
RST-00385,East_01,ITM-10,2025-12-23,118,scheduled
RST-00001,North_01,ITM-01,2025-01-09,1293,scheduled
RST-00002,North_01,ITM-01,2025-02-24,1201,scheduled
RST-00003,North_01,ITM-01,2025-04-12,1226,scheduled
RST-00004,North_01,ITM-01,2025-05-26,1203,scheduled
RST-00009,North_01,ITM-01,2025-07-07,137,emergency
RST-00005,North_01,ITM-01,2025-07-08,1331,scheduled
RST-00006,North_01,ITM-01,2025-08-23,1313,scheduled
RST-00007,North_01,ITM-01,2025-10-08,1293,scheduled
RST-00010,North_01,ITM-01,2025-10-26,134,emergency
RST-00008,North_01,ITM-01,2025-11-20,1169,scheduled
RST-00011,North_01,ITM-02,2025-01-03,153,scheduled
RST-00012,North_01,ITM-02,2025-02-19,165,scheduled
RST-00013,North_01,ITM-02,2025-04-04,153,scheduled
RST-00014,North_01,ITM-02,2025-05-20,155,scheduled
RST-00015,North_01,ITM-02,2025-07-02,145,scheduled
RST-00016,North_01,ITM-02,2025-08-14,147,scheduled
RST-00017,North_01,ITM-02,2025-09-29,166,scheduled
RST-00018,North_01,ITM-02,2025-11-14,158,scheduled
RST-00019,North_01,ITM-02,2025-12-30,164,scheduled
RST-00020,North_01,ITM-03,2025-01-09,2370,scheduled
RST-00021,North_01,ITM-03,2025-02-22,2407,scheduled
RST-00022,North_01,ITM-03,2025-04-06,2356,scheduled
RST-00023,North_01,ITM-03,2025-05-18,2376,scheduled
RST-00029,North_01,ITM-03,2025-05-19,260,emergency
RST-00024,North_01,ITM-03,2025-06-30,2123,scheduled
RST-00025,North_01,ITM-03,2025-08-12,2303,scheduled
RST-00026,North_01,ITM-03,2025-09-27,2406,scheduled
RST-00027,North_01,ITM-03,2025-11-13,2107,scheduled
RST-00030,North_01,ITM-03,2025-11-20,257,emergency
RST-00028,North_01,ITM-03,2025-12-28,2193,scheduled
RST-00031,North_01,ITM-04,2025-01-10,369,scheduled
RST-00032,North_01,ITM-04,2025-02-23,377,scheduled
RST-00033,North_01,ITM-04,2025-04-08,373,scheduled
RST-00034,North_01,ITM-04,2025-05-23,405,scheduled
RST-00035,North_01,ITM-04,2025-07-10,364,scheduled
RST-00036,North_01,ITM-04,2025-08-23,371,scheduled
RST-00039,North_01,ITM-04,2025-09-14,34,emergency
RST-00037,North_01,ITM-04,2025-10-04,383,scheduled
RST-00040,North_01,ITM-04,2025-10-23,53,emergency
RST-00038,North_01,ITM-04,2025-11-20,400,scheduled
RST-00041,North_01,ITM-05,2025-01-06,399,scheduled
RST-00042,North_01,ITM-05,2025-02-17,363,scheduled
RST-00043,North_01,ITM-05,2025-04-06,396,scheduled
RST-00044,North_01,ITM-05,2025-05-23,380,scheduled
RST-00045,North_01,ITM-05,2025-07-06,355,scheduled
RST-00046,North_01,ITM-05,2025-08-21,360,scheduled
RST-00047,North_01,ITM-05,2025-10-05,374,scheduled
RST-00048,North_01,ITM-05,2025-11-21,380,scheduled
RST-00049,North_01,ITM-06,2025-01-08,366,scheduled
RST-00050,North_01,ITM-06,2025-02-20,389,scheduled
RST-00051,North_01,ITM-06,2025-04-03,382,scheduled
RST-00052,North_01,ITM-06,2025-05-20,400,scheduled
RST-00053,North_01,ITM-06,2025-07-06,367,scheduled
RST-00054,North_01,ITM-06,2025-08-19,390,scheduled
RST-00055,North_01,ITM-06,2025-10-02,381,scheduled
RST-00056,North_01,ITM-06,2025-11-17,375,scheduled
RST-00057,North_01,ITM-07,2025-01-02,405,scheduled
RST-00058,North_01,ITM-07,2025-02-18,386,scheduled
RST-00059,North_01,ITM-07,2025-04-05,395,scheduled
RST-00060,North_01,ITM-07,2025-05-18,362,scheduled
RST-00061,North_01,ITM-07,2025-06-30,353,scheduled
RST-00062,North_01,ITM-07,2025-08-13,386,scheduled
RST-00063,North_01,ITM-07,2025-09-29,404,scheduled
RST-00064,North_01,ITM-07,2025-11-12,393,scheduled
RST-00065,North_01,ITM-07,2025-12-25,353,scheduled
RST-00066,North_01,ITM-08,2025-01-01,384,scheduled
RST-00067,North_01,ITM-08,2025-02-12,400,scheduled
RST-00077,North_01,ITM-08,2025-02-25,36,emergency
RST-00068,North_01,ITM-08,2025-03-31,388,scheduled
RST-00076,North_01,ITM-08,2025-05-13,48,emergency
RST-00069,North_01,ITM-08,2025-05-15,409,scheduled
RST-00070,North_01,ITM-08,2025-07-01,370,scheduled
RST-00071,North_01,ITM-08,2025-08-16,393,scheduled
RST-00072,North_01,ITM-08,2025-09-30,407,scheduled
RST-00075,North_01,ITM-08,2025-11-04,48,emergency
RST-00073,North_01,ITM-08,2025-11-15,363,scheduled
RST-00074,North_01,ITM-08,2025-12-27,396,scheduled
RST-00078,North_01,ITM-09,2025-01-05,405,scheduled
RST-00079,North_01,ITM-09,2025-02-20,368,scheduled
RST-00080,North_01,ITM-09,2025-04-08,385,scheduled
RST-00081,North_01,ITM-09,2025-05-25,403,scheduled
RST-00082,North_01,ITM-09,2025-07-08,385,scheduled
RST-00083,North_01,ITM-09,2025-08-20,375,scheduled
RST-00084,North_01,ITM-09,2025-10-06,352,scheduled
RST-00085,North_01,ITM-09,2025-11-18,381,scheduled
RST-00086,North_01,ITM-10,2025-01-06,241,scheduled
RST-00087,North_01,ITM-10,2025-02-23,261,scheduled
RST-00088,North_01,ITM-10,2025-04-10,255,scheduled
RST-00089,North_01,ITM-10,2025-05-22,253,scheduled
RST-00090,North_01,ITM-10,2025-07-06,258,scheduled
RST-00091,North_01,ITM-10,2025-08-22,264,scheduled
RST-00092,North_01,ITM-10,2025-10-09,247,scheduled
RST-00093,North_01,ITM-10,2025-11-21,254,scheduled
RST-00094,North_02,ITM-01,2025-01-01,1811,scheduled
RST-00095,North_02,ITM-01,2025-03-02,1912,scheduled
RST-00096,North_02,ITM-01,2025-05-02,1926,scheduled
RST-00097,North_02,ITM-01,2025-07-02,1888,scheduled
RST-00098,North_02,ITM-01,2025-09-01,1721,scheduled
RST-00099,North_02,ITM-01,2025-10-29,1815,scheduled
RST-00100,North_02,ITM-01,2025-12-25,1728,scheduled
RST-00101,North_02,ITM-02,2025-01-08,214,scheduled
RST-00102,North_02,ITM-02,2025-03-08,220,scheduled
RST-00103,North_02,ITM-02,2025-05-04,222,scheduled
RST-00104,North_02,ITM-02,2025-07-01,242,scheduled
RST-00105,North_02,ITM-02,2025-09-02,241,scheduled
RST-00106,North_02,ITM-02,2025-11-02,220,scheduled
RST-00107,North_02,ITM-02,2025-12-29,220,scheduled
RST-00108,North_02,ITM-03,2025-01-05,3210,scheduled
RST-00109,North_02,ITM-03,2025-03-05,3147,scheduled
RST-00110,North_02,ITM-03,2025-05-06,3198,scheduled
RST-00111,North_02,ITM-03,2025-07-02,3256,scheduled
RST-00112,North_02,ITM-03,2025-09-01,3239,scheduled
RST-00113,North_02,ITM-03,2025-10-30,3267,scheduled
RST-00114,North_02,ITM-03,2025-12-31,3316,scheduled
RST-00115,North_02,ITM-04,2025-01-06,584,scheduled
RST-00116,North_02,ITM-04,2025-03-10,611,scheduled
RST-00117,North_02,ITM-04,2025-05-09,572,scheduled
RST-00118,North_02,ITM-04,2025-07-10,632,scheduled
RST-00119,North_02,ITM-04,2025-09-09,570,scheduled
RST-00120,North_02,ITM-04,2025-11-09,593,scheduled
RST-00121,North_02,ITM-05,2025-01-02,579,scheduled
RST-00122,North_02,ITM-05,2025-03-04,617,scheduled
RST-00123,North_02,ITM-05,2025-05-05,604,scheduled
RST-00124,North_02,ITM-05,2025-07-01,611,scheduled
RST-00125,North_02,ITM-05,2025-09-01,608,scheduled
RST-00126,North_02,ITM-05,2025-10-31,607,scheduled
RST-00127,North_02,ITM-05,2025-12-29,589,scheduled
RST-00128,North_02,ITM-06,2025-01-09,618,scheduled
RST-00129,North_02,ITM-06,2025-03-10,588,scheduled
RST-00130,North_02,ITM-06,2025-05-09,626,scheduled
RST-00131,North_02,ITM-06,2025-07-08,562,scheduled
RST-00132,North_02,ITM-06,2025-09-07,565,scheduled
RST-00133,North_02,ITM-06,2025-11-07,619,scheduled
RST-00134,North_02,ITM-07,2025-01-09,621,scheduled
RST-00135,North_02,ITM-07,2025-03-08,616,scheduled
RST-00136,North_02,ITM-07,2025-05-07,587,scheduled
RST-00137,North_02,ITM-07,2025-07-04,601,scheduled
RST-00138,North_02,ITM-07,2025-09-03,601,scheduled
RST-00139,North_02,ITM-07,2025-11-05,602,scheduled
RST-00140,North_02,ITM-08,2025-01-09,575,scheduled
RST-00141,North_02,ITM-08,2025-03-07,576,scheduled
RST-00142,North_02,ITM-08,2025-05-04,605,scheduled
RST-00143,North_02,ITM-08,2025-07-03,621,scheduled
RST-00144,North_02,ITM-08,2025-09-04,608,scheduled
RST-00145,North_02,ITM-08,2025-11-05,603,scheduled
RST-00146,North_02,ITM-09,2025-01-06,583,scheduled
RST-00147,North_02,ITM-09,2025-03-08,580,scheduled
RST-00148,North_02,ITM-09,2025-05-07,548,scheduled
RST-00149,North_02,ITM-09,2025-07-05,555,scheduled
RST-00150,North_02,ITM-09,2025-08-31,585,scheduled
RST-00151,North_02,ITM-09,2025-10-30,597,scheduled
RST-00152,North_02,ITM-09,2025-12-27,609,scheduled
RST-00153,North_02,ITM-10,2025-01-06,390,scheduled
RST-00154,North_02,ITM-10,2025-03-10,370,scheduled
RST-00155,North_02,ITM-10,2025-05-12,392,scheduled
RST-00156,North_02,ITM-10,2025-07-09,384,scheduled
RST-00157,North_02,ITM-10,2025-09-10,404,scheduled
RST-00158,North_02,ITM-10,2025-11-07,362,scheduled
RST-00159,South_01,ITM-01,2025-01-05,1643,scheduled
RST-00167,South_01,ITM-01,2025-01-25,242,emergency
RST-00160,South_01,ITM-01,2025-02-22,1606,scheduled
RST-00161,South_01,ITM-01,2025-04-08,1660,scheduled
RST-00162,South_01,ITM-01,2025-05-20,1686,scheduled
RST-00163,South_01,ITM-01,2025-07-02,1625,scheduled
RST-00164,South_01,ITM-01,2025-08-18,1683,scheduled
RST-00165,South_01,ITM-01,2025-10-02,1811,scheduled
RST-00168,South_01,ITM-01,2025-11-13,197,emergency
RST-00166,South_01,ITM-01,2025-11-16,1710,scheduled
RST-00169,South_01,ITM-02,2025-01-10,247,scheduled
RST-00170,South_01,ITM-02,2025-02-24,222,scheduled
RST-00171,South_01,ITM-02,2025-04-10,249,scheduled
RST-00172,South_01,ITM-02,2025-05-26,242,scheduled
RST-00173,South_01,ITM-02,2025-07-09,221,scheduled
RST-00174,South_01,ITM-02,2025-08-26,227,scheduled
RST-00175,South_01,ITM-02,2025-10-07,219,scheduled
RST-00176,South_01,ITM-02,2025-11-22,237,scheduled
RST-00177,South_01,ITM-03,2025-01-10,3067,scheduled
RST-00178,South_01,ITM-03,2025-02-21,2959,scheduled
RST-00186,South_01,ITM-03,2025-03-31,296,emergency
RST-00179,South_01,ITM-03,2025-04-09,3104,scheduled
RST-00180,South_01,ITM-03,2025-05-22,2906,scheduled
RST-00181,South_01,ITM-03,2025-07-07,3133,scheduled
RST-00182,South_01,ITM-03,2025-08-23,3308,scheduled
RST-00185,South_01,ITM-03,2025-09-15,432,emergency
RST-00183,South_01,ITM-03,2025-10-09,3061,scheduled
RST-00184,South_01,ITM-03,2025-11-24,3321,scheduled
RST-00187,South_01,ITM-04,2025-01-06,377,scheduled
RST-00197,South_01,ITM-04,2025-02-08,46,emergency
RST-00188,South_01,ITM-04,2025-02-17,364,scheduled
RST-00189,South_01,ITM-04,2025-04-01,381,scheduled
RST-00190,South_01,ITM-04,2025-05-18,382,scheduled
RST-00191,South_01,ITM-04,2025-07-01,398,scheduled
RST-00192,South_01,ITM-04,2025-08-17,359,scheduled
RST-00193,South_01,ITM-04,2025-09-28,378,scheduled
RST-00196,South_01,ITM-04,2025-10-15,55,emergency
RST-00194,South_01,ITM-04,2025-11-10,386,scheduled
RST-00195,South_01,ITM-04,2025-12-26,404,scheduled
RST-00198,South_01,ITM-05,2025-01-10,384,scheduled
RST-00199,South_01,ITM-05,2025-02-27,404,scheduled
RST-00200,South_01,ITM-05,2025-04-12,363,scheduled
RST-00201,South_01,ITM-05,2025-05-26,398,scheduled
RST-00202,South_01,ITM-05,2025-07-11,383,scheduled
RST-00203,South_01,ITM-05,2025-08-23,374,scheduled
RST-00204,South_01,ITM-05,2025-10-06,359,scheduled
RST-00205,South_01,ITM-05,2025-11-21,391,scheduled
RST-00206,South_01,ITM-06,2025-01-01,362,scheduled
RST-00207,South_01,ITM-06,2025-02-18,394,scheduled
RST-00208,South_01,ITM-06,2025-04-05,390,scheduled
RST-00209,South_01,ITM-06,2025-05-17,370,scheduled
RST-00210,South_01,ITM-06,2025-07-01,354,scheduled
RST-00211,South_01,ITM-06,2025-08-16,363,scheduled
RST-00212,South_01,ITM-06,2025-09-28,355,scheduled
RST-00213,South_01,ITM-06,2025-11-12,390,scheduled
RST-00214,South_01,ITM-06,2025-12-27,383,scheduled
RST-00215,South_01,ITM-07,2025-01-07,354,scheduled
RST-00216,South_01,ITM-07,2025-02-23,396,scheduled
RST-00217,South_01,ITM-07,2025-04-11,401,scheduled
RST-00218,South_01,ITM-07,2025-05-24,405,scheduled
RST-00219,South_01,ITM-07,2025-07-07,354,scheduled
RST-00220,South_01,ITM-07,2025-08-18,374,scheduled
RST-00221,South_01,ITM-07,2025-10-05,362,scheduled
RST-00222,South_01,ITM-07,2025-11-17,399,scheduled
RST-00223,South_01,ITM-08,2025-01-01,354,scheduled
RST-00224,South_01,ITM-08,2025-02-13,372,scheduled
RST-00232,South_01,ITM-08,2025-03-30,43,emergency
RST-00225,South_01,ITM-08,2025-03-31,392,scheduled
RST-00226,South_01,ITM-08,2025-05-12,390,scheduled
RST-00233,South_01,ITM-08,2025-05-25,44,emergency
RST-00234,South_01,ITM-08,2025-05-29,56,emergency
RST-00227,South_01,ITM-08,2025-06-29,389,scheduled
RST-00228,South_01,ITM-08,2025-08-12,367,scheduled
RST-00229,South_01,ITM-08,2025-09-29,378,scheduled
RST-00230,South_01,ITM-08,2025-11-10,405,scheduled
RST-00231,South_01,ITM-08,2025-12-28,353,scheduled
RST-00235,South_01,ITM-09,2025-01-10,361,scheduled
RST-00236,South_01,ITM-09,2025-02-25,381,scheduled
RST-00237,South_01,ITM-09,2025-04-08,354,scheduled
RST-00238,South_01,ITM-09,2025-05-21,361,scheduled
RST-00239,South_01,ITM-09,2025-07-06,405,scheduled
RST-00240,South_01,ITM-09,2025-08-21,370,scheduled
RST-00241,South_01,ITM-09,2025-10-05,356,scheduled
RST-00242,South_01,ITM-09,2025-11-22,383,scheduled
RST-00243,South_01,ITM-10,2025-01-08,356,scheduled
RST-00244,South_01,ITM-10,2025-02-19,359,scheduled
RST-00245,South_01,ITM-10,2025-04-06,373,scheduled
RST-00246,South_01,ITM-10,2025-05-22,346,scheduled
RST-00247,South_01,ITM-10,2025-07-09,368,scheduled
RST-00248,South_01,ITM-10,2025-08-24,335,scheduled
RST-00249,South_01,ITM-10,2025-10-07,375,scheduled
RST-00250,South_01,ITM-10,2025-11-20,352,scheduled
